$Flow,
,
JDAY,q(m3/s)
120,0.121
121,0.121
122,0.121
123,0.121
124,0.121
125,0.121
126,0.121
127,0.121
128,0.121
129,0.121
130,0.121
131,0.121
132,0.121
133,0.121
134,0.121
135,0.121
136,0.121
137,0.121
138,0.121
139,0.121
140,0.121
141,0.121
142,0.121
143,0.121
144,0.121
145,0.121
146,0.121
147,0.121
148,0.121
149,0.121
150,0.121
151,0.121
152,0.121
153,0.121
154,0.121
155,0.121
156,0.121
157,0.121
158,0.121
159,0.121
160,0.121
161,0.121
162,0.121
163,0.121
164,0.121
165,0.121
166,0.121
167,0.121
168,0.121
169,0.121
170,0.121
171,0.121
172,0.121
173,0.121
174,0.121
175,0.121
176,0.121
177,0.121
178,0.121
179,0.121
180,0.121
181,0.121
182,0.121
183,0.121
184,0.121
185,0.121
186,0.121
187,0.121
188,0.121
189,0.121
190,0.121
191,0.121
192,0.121
193,0.121
194,0.121
195,0.121
196,0.121
197,0.121
198,0.121
199,0.121
200,0.121
201,0.121
202,0.121
203,0.121
204,0.121
205,0.121
206,0.121
207,0.121
208,0.121
209,0.121
210,0.121
211,0.121
212,0.121
213,0.121
214,0.121
215,0.121
216,0.121
217,0.121
