$Flow,
,
JDAY,q
120,0.222222222222222
121,0.222222222222222
122,0.222222222222222
123,0.222222222222222
124,0.222222222222222
125,0.222222222222222
126,0.222222222222222
127,0.222222222222222
128,0.222222222222222
129,0.222222222222222
130,0.222222222222222
131,0.222222222222222
132,0.222222222222222
133,0.222222222222222
134,0.222222222222222
135,0.222222222222222
136,0.222222222222222
137,0.222222222222222
138,0.222222222222222
139,0.222222222222222
140,0.222222222222222
141,0.222222222222222
142,0.222222222222222
143,0.222222222222222
144,0.222222222222222
145,0.222222222222222
146,0.222222222222222
147,0.222222222222222
148,0.222222222222222
149,0.222222222222222
150,0.222222222222222
151,0.222222222222222
152,0.222222222222222
153,0.222222222222222
154,0.222222222222222
155,0.222222222222222
156,0.222222222222222
157,0.222222222222222
158,0.222222222222222
159,0.222222222222222
160,0.222222222222222
161,0.222222222222222
162,0.222222222222222
163,0.222222222222222
164,0.222222222222222
165,0.222222222222222
166,0.222222222222222
167,0.222222222222222
168,0.222222222222222
169,0.222222222222222
170,0.222222222222222
171,0.222222222222222
172,0.222222222222222
173,0.222222222222222
174,0.222222222222222
175,0.222222222222222
176,0.222222222222222
177,0.222222222222222
178,0.222222222222222
179,0.222222222222222
180,0.222222222222222
181,0.222222222222222
182,0.222222222222222
183,0.222222222222222
184,0.222222222222222
185,0.222222222222222
186,0.222222222222222
187,0.222222222222222
188,0.222222222222222
189,0.222222222222222
190,0.222222222222222
191,0.222222222222222
192,0.222222222222222
193,0.222222222222222
194,0.222222222222222
195,0.222222222222222
196,0.222222222222222
197,0.222222222222222
198,0.222222222222222
199,0.222222222222222
200,0.222222222222222
201,0.222222222222222
202,0.222222222222222
203,0.222222222222222
204,0.222222222222222
205,0.222222222222222
206,0.222222222222222
207,0.222222222222222
208,0.222222222222222
209,0.222222222222222
210,0.222222222222222
211,0.222222222222222
212,0.222222222222222
213,0.222222222222222
214,0.222222222222222
215,0.222222222222222
216,0.222222222222222
217,0.222222222222222
